Category,Id,Name,pDate,Quantity,CostPrice,Usefull_Life,PReason,dep_%,dep_Amt.
LAND & BUILDINGS,1,Land,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,9897876450,, ,NaN,NaN
LAND & BUILDINGS,2,QTRS. TYPE-II(50 BLDGS),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,82906000,12, ,8.333333333333334,4656553666.666667
LAND & BUILDINGS,3,QTRS. TYPE-I(43 BLDGS),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,69947000,12, ,8.333333333333334,3928689833.333334
LAND & BUILDINGS,4,INDORE PATIENT WARD,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2540000,3, ,33.333333333333336,570653333.3333334
LAND & BUILDINGS,5,OPD & OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1897000,3, ,33.333333333333336,426192666.66666675
LAND & BUILDINGS,6,SUSPENSE GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,5920000,14, ,7.142857142857143,285005714.2857143
LAND & BUILDINGS,7,MAIN PRODUCTION SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,10015000,26, ,3.8461538461538463,259619615.3846154
LAND & BUILDINGS,8,INSPECTION BUNGALOW,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,1440000,4, ,25,242640000
LAND & BUILDINGS,9,LB OFFICE,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2006000,7, ,14.285714285714286,193149142.85714287
LAND & BUILDINGS,10,QTRS TYPE-III(BLOCK 5 TO 10),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,6523000,24, ,4.166666666666667,183187583.33333337
LAND & BUILDINGS,11,QTRS TYPE-III (BLOCK 1 TO 4),Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,4016000,18, ,5.555555555555555,150376888.8888889
LAND & BUILDINGS,12,WELFARE CANTEEN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,3044000,16, ,6.25,128228500
LAND & BUILDINGS,13,GARNITURE RLY. PLATFORM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,510000,4, ,25,85935000
LAND & BUILDINGS,14,X-RAY ROOM,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,379000,3, ,33.333333333333336,85148666.66666667
LAND & BUILDINGS,15,STATIONARY GODOWN,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,504000,4, ,25,84924000
LAND & BUILDINGS,16,BLOCK SUB-STATION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,494000,4, ,25,83239000
LAND & BUILDINGS,17,HRD SECTION,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,985000,8, ,12.5,82986250
LAND & BUILDINGS,18,BACHELORS MESS,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2192000,30, ,3.3333333333333335,49246933.33333334
LAND & BUILDINGS,19,OFFICERS HOSTEL,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,2192000,30, ,3.3333333333333335,49246933.33333334
LAND & BUILDINGS,20,HYGEN CELL,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,202000,3, ,33.333333333333336,45382666.66666667
LAND & BUILDINGS,21,EM SHOP,Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time),1,520000,8, ,12.5,43810000
